"","ADCYAP1","ADIPOQ","ALX1","ARX","BAGE","BAGE2","BAGE3","BAGE4","BAGE5","BCORP1","BMP7","BTBD17","C14ORF39","C15ORF2","C18ORF61","C21ORF15","CALB2","CARTPT","CBLN4","CCL19","CCL21","CCNYL2","CFHR4","CHRNA4","CLEC4M","CR2","CRABP1","CRH","CSAG1","CSAG2","CSAG3","CTAG2","CXORF49","CXORF49B","CYP11B1","CYP4F24P","DDX3Y","DEFA1","DEFA1B","DLK1","DNAJC5G","EIF1AY","ERCC_00013","ERCC_00014","ERCC_00019","ERCC_00022","ERCC_00025","ERCC_00028","ERCC_00031","ERCC_00034","ERCC_00035","ERCC_00039","ERCC_00040","ERCC_00044","ERCC_00051","ERCC_00053","ERCC_00054","ERCC_00058","ERCC_00059","ERCC_00060","ERCC_00062","ERCC_00067","ERCC_00069","ERCC_00071","ERCC_00076","ERCC_00078","ERCC_00079","ERCC_00084","ERCC_00085","ERCC_00092","ERCC_00095","ERCC_00099","ERCC_00108","ERCC_00112","ERCC_00116","ERCC_00126","ERCC_00131","ERCC_00136","ERCC_00143","ERCC_00144","ERCC_00148","ERCC_00154","ERCC_00157","ERCC_00160","ERCC_00162","ERCC_00163","ERCC_00165","ERCC_00170","EVX2","FBXL21","FDCSP","FERD3L","FLJ41350","FOXD3","GABRA1","GCGR","GSTT1","HBG1","HBG2","HLA-DQA1","HLA-DRB4","HLA-DRB5","HOXC10","HOXD11","HOXD13","HSD3B2","KCNC2","KDM5D","LECT2","LHX9","LINC00221","LOC100129291","LOC100288568","LOC100507073","LOC100507199","LOC100507561","LOC100652893","LOC100653006","LOC348120","LOC400643","LOC441601","LOC90499","MAGEA1","MAGEA10","MAGEA10-MAGEA5","MAGEA11","MAGEA12","MAGEA2","MAGEA2B","MAGEA3","MAGEA4","MAGEA5","MAGEA6","MAGEA9","MAGEA9B","MAGEC1","MAGEC2","MGC39584","MUC15","NCAN","NCRNA00185","NF1P2","NHLH2","NKX6-1","NR5A1","PABPC1L2A","PABPC1L2B","PAGE5","PENK","PLA2G2A","PLA2G2D","PLEKHG4B","PMP2","POU4F2","PPP1R17","PPP1R1A","PRAME","PRKY","PRY","PRY2","PWRN1","RBP4","RMST","RPS4Y1","SERPINA12","SIX6","SLC30A3","SLC5A7","SLC6A11","SST","TERT","TLX3","TMSB4Y","TSIX","TSPY4","TTLL6","TTTY15","TTTY2","TTTY2B","TXLNG2P","UCN3","USP9Y","XAGE1A","XAGE1B","XAGE1C","XAGE1D","XAGE1E","XIST","ZFY","ZFY-AS1"
"SEQC_NB053_BC02FPACXX_L7_TAGCTT",-2.278,-3.365,-6.665,-2.558,-1.973,-1.236,-1.236,-1.236,-1.236,-2.665,-1.458,-1.78,-4.78,-4.78,2.057,-6.665,-2.043,0.061,-1.721,-0.061,0.957,-4.78,-6.665,2.403,-6.665,-2.78,-3.78,-4.78,-2.458,-6.665,-6.665,-6.665,-6.665,-6.665,-3.365,-0.665,6.811,-4.365,-4.365,2.216,-0.973,3.862,-2.497,5.846,5.524,11.633,10,-2.497,5.109,7.431,10.266,6.984,5.109,8.984,5.846,8.168,6.332,-2.497,7.431,10.791,7.612,-2.497,6.332,8.81,11.49,9.734,10.139,9.357,5.846,9.455,6.694,8.654,11.699,10.239,9.547,-2.497,8.279,11.087,5.109,5.109,6.984,5.109,6.694,7.431,9.279,8.048,10.109,-2.497,-6.665,-6.665,1.53,-6.665,-5.365,1.044,-2.665,6.481,4.167,-0.665,0.22,0.774,1.554,-3.78,-2.117,-4.365,-3.195,-2.906,-3.78,6.272,-6.665,-4.78,-6.665,-6.665,-4.78,0.984,-6.665,1.769,-6.665,0.22,-4.78,-2.906,-4.78,-6.665,-6.665,-4.78,-4.78,-5.365,-3.558,-6.665,-6.665,-6.665,-6.665,-6.665,-4.78,-2.558,-2.558,-4.78,-6.665,-3.195,-4.78,-1.78,3.027,-4.78,-5.365,-3.78,-3.195,-0.482,-0.637,-5.365,-6.665,-5.365,0.307,4.751,-1.236,3.358,-3.195,3.339,-0.278,6.957,3.667,3.667,-3.195,-4.043,-4.043,7.089,-4.043,-6.665,2.227,-3.365,-2.195,3.774,-4.78,2.995,3.111,0.044,-3.558,-0.278,6.459,-1.458,-1.458,5.157,-0.321,6.474,-6.665,-6.665,-6.665,-6.665,-6.665,0.143,4.487,4.012
"SEQC_NB054_BC02FPACXX_L7_CTTGTA",5.188,2.579,-0.026,5.007,4.372,5.081,5.081,5.081,5.081,-6.665,0.836,2.095,-6.665,-4.348,-3.611,-4.348,-2.348,1.998,4.335,3.754,3.871,-2.611,-1.845,-1.763,-2.933,1.315,-2.026,-1.933,3.773,3.563,3.563,3.537,4.338,4.338,-3.611,-3.125,-4.933,-6.665,-6.665,2.919,3.958,-6.665,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,12.634,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,13.371,-2.497,-2.497,-2.497,-2.497,13.856,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,12.634,12.634,13.371,-2.497,-2.497,12.634,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,2.935,0.795,-0.378,1.033,-4.933,3.589,0.575,8.949,2.603,-2.348,-1.348,5.96,0.045,6.358,5.307,-3.933,1.591,-2.611,4.549,-4.933,-1.125,-3.611,4.767,-2.473,4.433,-6.665,0.315,-3.933,2.591,-0.723,2.348,-3.125,-0.763,-1.125,0.176,5.172,5.741,-0.289,4.816,4.688,4.506,4.604,2.329,3.736,4.385,-2.232,-2.232,-3.611,-2.026,0.849,-0.933,7.439,-4.348,2.447,-2.933,3.631,-2.232,3.771,3.313,4.185,-3.611,-2.763,3.114,-0.647,4.504,4.653,3.826,3.301,6.846,-0.763,-6.665,-6.665,-4.348,-1.289,3.346,-2.933,0.962,-6.665,5.931,-3.611,2.033,0.257,-1.611,-3.611,-6.665,10.173,-6.665,3.25,-3.933,-6.665,-6.665,-6.665,-2.026,-2.348,-4.933,-4.933,-4.933,-4.933,-4.933,10.263,-4.348,-4.348
"SEQC_NB055_BC02FPACXX_L8_TGACCA",6.152,-6.665,-6.665,-2.755,-0.796,0.075,0.075,0.075,0.075,-6.665,3.152,-2.34,0.36,-6.665,0.119,-4.34,-4.34,-1.533,1.81,3.463,3.543,-2.34,-6.665,-0.755,-4.34,-2.466,-1.067,-4.34,-1.067,-2.34,-2.34,-3.118,-6.665,-6.665,-6.665,1.029,-3.34,-3.925,-3.925,3.395,-2.018,-6.665,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,13.19,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,13.19,-2.497,-2.497,-4.34,-6.665,-0.64,-2.225,-6.665,3.194,-6.665,3.557,4.317,-3.925,-3.603,3.911,1.747,2.178,3.106,-6.665,-6.665,-3.603,-1.401,-6.665,-6.665,-3.118,-0.677,-4.34,-4.34,1.876,-6.665,-2.118,-4.34,-3.118,-4.925,0.518,-0.567,-6.665,-6.665,-4.34,-3.603,-4.34,-2.603,-2.755,-2.755,-6.665,-6.665,-6.665,-3.118,-6.665,-6.665,-3.603,-6.665,-1.281,-3.118,1.36,-6.665,-3.118,-6.665,4.193,-4.34,-2.466,-2.755,-6.665,-3.118,-6.665,2.686,2.958,1.215,4.341,0.163,3.365,1.173,-1.281,-6.665,-6.665,-4.34,-6.665,-3.34,-2.225,0.415,-6.665,-1.118,-3.603,-4.34,3.62,-6.665,-3.603,-6.665,10.549,-6.665,-1.34,-4.925,-6.665,-6.665,-6.665,1.895,-2.466,-6.665,-6.665,-6.665,-6.665,-6.665,10.616,-4.34,-4.34
"SEQC_NB056_BC02FPACXX_L8_ACAGTG",3.829,-6.665,-6.665,2.032,2.038,2.922,2.922,2.922,2.922,0.307,-1.335,-3.394,-0.586,-4.394,-0.849,-0.979,-2.519,-2.809,3.93,4.158,3.374,-1.979,-6.665,-4.394,-2.809,-0.364,-3.171,-6.665,2.898,2.545,2.545,1.879,0.343,0.343,-6.665,0.636,4.201,-3.979,-3.979,-0.146,2.746,0.396,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,14.398,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,13.813,-2.497,-2.497,-2.497,-2.497,-2.497,-6.665,-4.394,-1.455,1.26,-4.394,2.109,-6.665,8.743,3.274,-0.048,-0.487,5.121,2.505,4.926,5.565,-4.979,-3.657,-3.979,-3.657,3.873,-6.665,-6.665,3.098,-1.121,2.082,1.269,-6.665,-0.487,-6.665,-0.487,-6.665,-1.891,-1.586,-6.665,-2.519,-6.665,-6.665,-6.665,3.394,2.864,2.602,-0.621,-6.665,-6.665,0.591,-3.171,-3.171,-6.665,-6.665,3.811,-3.657,0.735,-0.769,-4.394,-2.519,4.87,-3.657,-1.394,-1.121,-3.657,-4.394,-6.665,3.948,-0.657,1.94,4.969,-4.394,-4.394,7.118,3.493,-6.665,-6.665,-3.394,-4.394,-6.665,4.389,0.087,-6.665,3.621,-3.171,-4.394,1.665,-4.394,-3.657,-3.657,0.288,-6.665,-2.519,0.396,-6.665,-6.665,3.145,-2.979,2.729,-6.665,-6.665,-6.665,-6.665,-6.665,0.396,1.456,1.087
"SEQC_NB057_BC02FPACXX_L8_GCCAAT",4.12,-4.986,-6.665,-1.032,-2.816,-1.286,-1.286,-1.286,-1.286,-0.205,5.237,0.584,-6.665,-2.986,-2.816,-4.401,-2.286,2.58,3.061,5.736,6.925,-1.342,-1.527,-2.816,-0.205,0.7,-3.664,0.643,-0.816,-1.664,-1.664,-2.179,-4.986,-4.986,-6.665,-3.986,6.568,-3.179,-3.179,4.441,-1.816,3.716,-2.497,-2.497,-2.497,14.017,14.017,-2.497,-2.497,-2.497,14.017,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,14.754,-2.497,-2.497,-2.497,-2.497,-2.497,14.017,-2.497,-2.497,-2.497,-2.497,-4.401,-4.986,3.093,-4.401,-6.665,0.872,-3.664,8.065,-6.665,-4.401,-6.665,4.814,4.209,1.354,0.389,-6.665,-6.665,-3.179,-3.986,6.061,-6.665,-6.665,-0.986,-4.401,-1.401,-4.401,-6.665,-1.342,-6.665,-6.665,-6.665,1.281,-4.401,-6.665,-6.665,-6.665,-6.665,-6.665,-3.179,-3.664,-4.401,-6.665,-6.665,-6.665,-6.665,-3.664,-3.664,-6.665,-6.665,-1.664,-6.665,-1.738,3.101,-4.401,-6.665,-3.664,-3.179,-6.665,-4.401,-6.665,-6.665,-6.665,4.375,4.812,0.281,3.475,-0.103,2.194,5.311,6.296,2.058,2.058,-2.401,-6.665,-4.986,6.457,2.345,-4.401,-1.986,-3.179,-3.986,1.859,-2.664,-6.665,1.389,-0.153,-4.401,-1.816,5.926,-2.527,-2.527,5.431,-0.079,6.536,-6.665,-6.665,-6.665,-6.665,-6.665,-0.103,4.195,3.913
"SEQC_NB058_BC02FPACXX_L8_CAGATC",4.014,-6.665,-4.371,-3.371,-1.786,-0.827,-0.827,-0.827,-0.827,-6.665,6.827,-3.634,3.462,-6.665,-6.665,-1.956,-2.497,2.788,3.686,3.828,2.977,-2.497,-3.149,-2.149,-6.665,0.644,0.702,-1.564,3.598,4.405,4.405,4.187,3.704,3.704,-6.665,2.491,-3.634,-1.634,-1.634,9.202,-3.371,-6.665,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,14.398,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,14.398,-2.497,-3.634,-0.53,-2.256,-4.371,-4.956,2.805,1.527,8.389,-6.665,-0.827,-0.747,-3.634,3.916,3.421,-1.708,-6.665,-6.665,-3.149,-6.665,-3.371,-2.256,-0.786,4.098,1.986,3.869,-4.956,-1.312,-2.956,-6.665,-0.671,-3.149,-2.497,0.629,-3.149,2.932,5.075,5.465,-1.786,4.619,5.199,4.948,3.989,2.027,2.864,4.301,1.73,1.73,0.744,-2.497,0.292,-6.665,1.173,-6.665,-4.956,-6.665,4.705,-4.371,0.11,-0.433,0.758,-3.371,-6.665,3.015,-0.956,3.32,4.519,-0.098,-2.634,6.339,-3.634,-6.665,-6.665,-6.665,-4.371,-4.371,-2.149,-4.371,-6.665,-3.149,-3.956,-3.956,-0.074,-0.564,-3.634,-6.665,8.946,-6.665,-2.371,-6.665,-6.665,-6.665,-6.665,5.757,-4.371,3.094,3.094,3.094,3.094,3.094,9.032,-4.371,-4.956
"SEQC_NB059_BC02FPACXX_L8_GGCTAC",5.46,-2.641,-6.665,0.792,1.386,2.758,2.758,2.758,2.758,-6.665,5.655,-6.665,-0.471,-1.319,0.166,0.709,-3.378,3.048,2.854,5.451,5.952,-2.504,-6.665,-2.641,-1.963,3.679,-0.641,-0.291,0.513,1.751,1.751,0.561,-2.156,-2.156,-6.665,1.081,-3.156,-0.754,-0.754,4.937,0.765,-6.665,6.083,-2.497,6.82,11.746,10.38,-2.497,6.82,8.198,9.707,6.083,-2.497,9.82,6.083,9.142,6.083,-2.497,8.083,11.083,7.668,-2.497,7.82,8.668,11.127,9.746,9.855,9.142,6.083,9.855,6.82,8.89,11.881,10.907,9.305,6.083,7.668,11.318,6.083,6.083,6.083,-2.497,7.305,8.198,9.924,8.305,10.279,6.083,-3.156,-3.641,1.825,-1.793,-6.665,1.857,-4.963,9.292,4.084,-2.056,-1.793,4.654,-3.963,5.451,0.207,-6.665,-3.378,-3.641,-3.156,-1.793,-3.156,-3.963,1.341,-1.056,0.103,-2.504,-6.665,-0.715,-6.665,-1.793,-4.378,1.907,-3.641,-4.378,-0.08,-3.641,-2.504,-4.378,0.561,2.171,1.991,-0.319,-6.665,-4.378,0.778,-1.263,-1.263,-3.641,-6.665,-2.378,-6.665,2.187,-6.665,-6.665,-2.793,3.006,-6.665,-3.156,-4.378,-3.963,-4.378,-6.665,3.287,1.092,1.592,4.875,-2.504,-0.182,8.212,-1.009,-6.665,-6.665,1.812,-4.378,-6.665,-3.156,2.677,-6.665,2.666,0.246,-4.378,2.372,-2.504,-3.156,-6.665,9.415,-6.665,3.103,-3.641,-6.665,-6.665,-4.378,3.865,-2.793,-3.378,-3.378,-3.378,-3.378,-3.378,9.523,-4.963,-4.963
"SEQC_NB060_BC02FPACXX_L8_CTTGTA",3.007,-4.923,-6.665,-2.017,3.594,5.05,5.05,5.05,5.05,0.305,-1.836,-6.665,-1.602,-6.665,0.164,-2.464,-6.665,-1.754,-1.116,4.153,2.348,-2.223,-6.665,-3.923,-3.923,-0.432,-6.665,-3.602,-6.665,-6.665,-6.665,-3.602,-6.665,-6.665,-6.665,1.623,6.782,0.416,0.416,1.947,-0.714,3.722,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,14.408,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,14.408,14.408,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,14.408,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,-2.497,1.791,-6.665,-2.754,-6.665,-6.665,1.818,2.353,3.962,3.994,-0.338,1.153,-4.338,4.723,-2.602,1.286,-4.338,-1.28,-3.116,-2.923,6.701,-6.665,-6.665,1.088,-1.065,0.503,-1.4,-6.665,-6.665,-4.338,1.153,-4.338,-4.338,-4.923,-6.665,-3.602,-6.665,-3.116,-6.665,-6.665,-6.665,-6.665,-4.923,-6.665,-6.665,-6.665,-6.665,-6.665,-4.338,-6.665,-1.223,-1.676,-0.714,3.401,-4.338,-2.602,-6.665,-6.665,-1.754,-1.4,-3.602,-4.338,-2.754,1.884,-0.602,1.52,0.818,-2.754,0.706,4.806,5.752,1.706,1.706,-4.338,-6.665,-3.602,6.525,-1.017,-6.665,0.469,0.031,-2.923,-0.065,-4.338,0.185,1.452,0.143,0.286,-3.923,6.035,-0.251,-0.251,5.372,-0.566,6.67,-3.923,-3.923,-3.923,-3.923,-3.923,0.206,4.359,4.139
"SEQC_NB061_BD053GACXX_L1_CGATGT",6.791,-4.506,-1.698,1.97,0.494,1.028,1.028,1.028,1.028,-0.137,2.889,1.502,-3.769,-6.665,-4.506,-0.283,-0.418,2.723,3.306,5.071,3.409,-3.283,-0.881,-3.283,-2.003,0.582,-4.506,-0.567,-2.769,-3.283,-3.283,0.479,-2.003,-2.003,-6.665,-6.665,5.32,-1.336,-1.336,2.736,-2.921,2.468,-2.497,-2.497,7.203,11.203,7.94,7.203,-2.497,8.203,10.476,7.203,-2.497,9.319,7.203,8.425,7.203,-2.497,7.203,11.399,9.706,-2.497,-2.497,8.425,11.64,9.078,9.618,7.94,-2.497,12.061,-2.497,9.706,14.413,10.142,11.501,-2.497,10.319,12.716,-2.497,-2.497,7.203,-2.497,7.94,8.425,9.706,7.203,9.525,9.203,-0.233,-1.631,1.393,-6.665,-6.665,0.213,-0.447,6.419,3.594,-6.665,-6.665,4.781,-0.506,-3.283,2.837,-6.665,-2.921,-4.506,4.011,5.139,-2.184,-3.769,3.912,-1.506,2.564,3.054,-6.665,2.421,1.997,-6.665,-4.506,-0.208,-0.599,-6.665,-6.665,-0.309,-0.003,-3.769,-6.665,-2.631,-3.769,-3.283,-4.506,-3.091,-4.506,-4.506,-4.506,-6.665,-6.665,4.919,0.038,6.394,2.084,-4.506,2.889,-0.881,-3.769,-3.283,-4.506,-0.769,-4.506,-6.665,4.989,0.954,-2.631,0.92,1.986,3.742,7.823,4.884,0.863,0.863,-6.665,-4.506,3.031,5.742,0.319,-6.665,-1.336,-6.665,-3.091,2.204,-2.184,-1.283,1.284,-0.805,-3.769,2.872,4.787,0.119,0.119,4.414,-1.336,5.316,-3.283,-3.283,-3.283,-3.283,-3.283,-0.881,3.564,3.308
"SEQC_NB062_BD053GACXX_L1_TGACCA",1.975,4.838,-6.665,1.883,0.804,2.057,2.057,2.057,2.057,-6.665,3.998,-3.616,-0.808,-4.353,0.017,-2.237,-3.353,-3.616,4.112,7.39,5.952,-4.353,-6.665,-6.665,-0.446,2.357,-3.353,-6.665,3.54,3.886,3.886,0.017,-1.031,-1.031,-4.353,1.212,-2.768,-3.13,-3.13,-3.13,-1.938,-6.665,6.428,-2.497,7.651,10.774,9.973,-2.497,-2.497,8.013,10.571,7.165,-2.497,9.798,7.165,7.651,-2.497,6.428,7.165,11.738,9.651,7.165,7.165,8.75,11.303,8.931,9.013,8.931,6.428,11.774,7.651,9.236,14.406,8.931,11.689,7.165,10.129,12.756,7.651,7.651,6.428,-2.497,8.013,8.013,9.701,7.651,9.598,7.165,-3.938,-4.353,3.181,0.107,-6.665,2.096,-6.665,7.743,4.222,0.706,1.15,5.719,6.179,-4.938,5.082,-6.665,-2.938,-3.616,2.942,-3.353,-6.665,-4.353,1.77,1.32,0.883,1.497,-6.665,-1.294,0.981,1.15,-3.616,2.296,-3.616,-4.938,2.411,-2.938,-2.353,-6.665,4.097,4.089,3.724,1.291,-6.665,-3.616,3.45,-4.353,-4.353,-2.478,-6.665,-1.545,-2.237,-2.353,-4.353,-2.478,-0.893,3.564,-6.665,-4.353,-3.13,1.051,-2.353,-4.353,6.859,0.42,0.79,2.876,-2.353,0.017,6.821,-0.893,-6.665,-6.665,-3.13,0.647,-3.353,-2.478,-1.85,-6.665,-1.478,-0.105,-3.353,2.217,-1.08,-6.665,-6.665,9.436,-6.665,0.272,-6.665,-6.665,-6.665,-3.13,-2.13,-4.353,0.291,0.291,0.291,0.291,0.291,9.532,-4.353,-4.353
"SEQC_NB063_BD053GACXX_L1_ACAGTG",5.548,-4.264,-6.665,2.674,2.254,3.209,3.209,3.209,3.209,-4.849,-1.762,-6.665,-1.762,1.906,-4.264,-2.527,-2.679,0.341,5.33,0.766,-0.264,-1.264,-1.942,-4.264,-6.665,-2.39,-6.665,-0.492,-1.457,-1.942,-1.942,1.058,-1.094,-1.094,-6.665,0.945,-3.042,-4.264,-4.264,-4.264,-1.762,-6.665,-2.497,-2.497,8.568,10.953,9.646,-2.497,-2.497,6.983,10.443,-2.497,-2.497,7.72,7.72,8.983,-2.497,-2.497,8.206,11.922,10.256,-2.497,-2.497,9.099,10.791,7.983,10.042,8.398,-2.497,11.906,6.983,8.398,14.167,7.983,11.465,-2.497,10.353,12.72,6.983,8.858,-2.497,6.983,-2.497,-2.497,9.791,8.206,9.791,6.983,-6.665,-3.849,-2.39,-6.665,-6.665,-0.264,-2.527,7.13,3.283,-3.527,-2.849,3.85,3.515,-1.527,5.382,-1.094,-3.527,-3.042,4.274,-2.849,-6.665,-4.264,3.024,-1.601,0.341,1.899,-6.665,1.83,2.244,-2.849,-3.042,0.173,-6.665,-2.849,-6.665,-0.991,-0.294,-6.665,-0.805,-1.205,-1.205,-1.527,-6.665,-2.149,-2.264,-2.149,-2.149,-4.264,-3.849,2.052,-2.39,4.516,-4.264,-2.679,-6.665,2.61,-4.264,3.353,3.027,0.418,-4.264,-6.665,4.151,-1.762,-0.72,-1.942,1.619,1.184,7.158,-0.991,-6.665,-6.665,3.009,-6.665,2.813,-3.849,3.482,-6.665,-1.149,-4.264,-6.665,3.558,-0.942,-3.527,-4.264,9.485,-6.665,-4.849,-4.264,-6.665,-6.665,-4.849,-1.601,-3.849,-2.527,-2.527,-2.527,-2.527,-2.527,9.6,-4.264,-4.264
"SEQC_NB064_BD053GACXX_L1_GCCAAT",4.624,-4.11,-6.665,-0.355,-1.203,-0.044,-0.044,-0.044,-0.044,-0.825,-0.438,0.381,2.775,1.497,-6.665,-4.525,-3.303,0.039,-1.788,5.273,3.581,1.748,-6.665,-1.156,-5.11,-2.94,-3.788,1.203,-2.41,-2.023,-2.023,-3.303,-6.665,-6.665,2.482,-0.252,5.96,-5.11,-5.11,4.067,2.278,3.037,6.268,6.268,-2.497,11.705,10.237,-2.497,6.268,7.852,10.326,6.268,-2.497,9.541,8.142,7.49,7.004,-2.497,7.004,11.397,8.142,-2.497,-2.497,9.49,11.812,9.683,10.142,9.968,-2.497,9.49,-2.497,8.589,11.968,10.237,9.075,6.268,7.852,10.791,7.004,-2.497,-2.497,6.268,8.142,8.93,9.268,7.852,9.812,6.268,-0.088,-6.665,2.282,-0.684,-6.665,-4.525,-4.525,3.003,3.482,-6.665,-3.788,-1.862,3.229,2.034,2.982,-6.665,-3.303,0.429,-4.11,5.741,-4.525,-3.11,1.247,-5.11,-1.023,4.129,-6.665,-0.467,-4.11,-3.788,-6.665,-4.11,0.138,-3.303,-6.665,-3.788,-3.303,-4.525,-6.665,-3.525,-3.788,-6.665,-6.665,-4.525,-3.788,-4.525,-4.525,-3.303,-6.665,2.109,-3.303,1.07,2.942,-6.665,-6.665,3.245,-1.252,1.814,1.867,-2.651,-3.788,-4.525,3.314,5.205,-3.303,6.628,-4.11,-3.11,6.371,5.026,1.664,1.664,2.823,-6.665,-6.665,6.118,0.459,-3.788,3.946,-5.11,-4.525,2.444,-4.525,3.703,1.838,-0.556,0.562,-3.11,5.516,-2.94,-2.94,4.661,-2.525,5.79,-4.525,-4.525,-4.525,-4.525,-4.525,-0.587,3.249,2.8
"SEQC_NB065_BD053GACXX_L1_CAGATC",6.085,-4.286,-0.412,2.386,2.914,4.064,4.064,4.064,4.064,2.414,-2.286,1.024,-0.917,-6.665,1.299,-0.662,-1.701,4.742,5.573,6.45,5.599,-1.412,-6.665,0.555,-0.445,2.729,0.487,-3.064,-0.784,-1.347,-1.347,1.744,-1.064,-1.064,-4.286,2.391,6.282,-3.871,-3.871,0.216,-2.871,3.493,6.893,6.156,-2.497,11.339,9.781,-2.497,-2.497,8.272,10.186,-2.497,-2.497,8.819,8.272,-2.497,6.156,-2.497,6.156,11.7,8.571,6.156,-2.497,9.429,11.659,9.525,10.761,8.893,6.156,9.781,6.156,9.7,11.989,9.741,9.095,-2.497,7.741,10.911,7.379,6.156,8.031,-2.497,6.893,8.478,9.616,7.379,10.299,6.156,-1.871,-0.513,0.637,-3.286,-6.665,3.446,-0.549,7.822,4.018,-6.665,-3.549,6.646,3.787,6.654,4.234,-6.665,-3.549,-6.665,1.794,6.168,-0.479,-6.665,0.884,0.787,-0.479,-3.549,-6.665,-4.286,-0.412,-3.064,-2.871,-3.064,-0.256,-4.286,0.801,-1.549,-1.549,-4.286,-1.116,-1.286,-1.286,-2.871,-6.665,-6.665,-1.227,-3.286,-3.286,-6.665,-6.665,-0.038,-4.286,4.452,2.597,-2.701,-0.701,4.025,-4.286,-3.871,-4.286,-0.662,-2.064,0.279,4.579,-0.445,3.562,5.076,-3.064,-6.665,2.538,5.832,1.877,1.877,-4.286,-3.064,-0.379,6.53,1.66,-4.286,-0.143,-0.412,-4.286,1.414,0.012,-3.064,1.981,-0.379,0.758,1.309,5.823,-0.316,-0.316,5.42,-3.286,6.017,-1.013,-1.013,-1.013,-1.013,-1.013,-0.379,4.14,3.853
"SEQC_NB066_BD053GACXX_L1_CTTGTA",7.087,-6.665,-4.381,-2.266,-1.211,-0.351,-0.351,-0.351,-0.351,-6.665,-3.159,-6.665,-1.108,-4.381,0.815,-4.381,-4.966,0.078,2.062,5.234,3.448,-2.796,-3.644,-3.159,-4.381,0.319,-2.381,-2.796,3.483,3.774,3.774,-0.411,-0.966,-0.966,-3.966,-6.665,-2.796,-1.322,-1.322,4.747,-1.108,-6.665,-2.497,-2.497,-2.497,11.848,10.024,-2.497,6.4,7.622,10.57,6.4,-2.497,9.515,6.4,7.985,-2.497,6.4,7.622,11.19,8.515,-2.497,-2.497,8.515,11.71,10.024,11.118,9.274,-2.497,9.515,-2.497,8.902,12.034,9.859,9.515,-2.497,8.515,10.964,6.4,-2.497,6.4,-2.497,6.4,8.274,9.459,7.985,10.487,-2.497,0.542,-4.381,1.383,-2.644,-6.665,-1.879,0.941,5.927,3.282,-4.381,-2.966,-4.381,3.248,-3.644,1.649,-2.507,-0.681,-4.381,-1.796,-2.966,-4.381,0.443,2.795,-0.211,0.243,-2.796,-6.665,-3.644,-6.665,-2.966,-6.665,0.078,-2.796,-2.644,1.518,0.988,1.391,-0.54,3.884,4.436,4.219,3.99,-4.381,-1.442,3.972,-2.796,-2.796,-4.381,-6.665,3.748,0.356,-1.718,-6.665,-6.665,-3.966,5.271,-1.879,-1.322,-0.837,0.526,-4.966,-6.665,3.792,-1.059,-6.665,5.581,-1.211,0.011,3.641,-1.322,-6.665,-6.665,-4.381,-4.966,-0.922,-3.381,1.023,-6.665,-0.351,-6.665,-6.665,-2.059,-0.966,-3.644,-6.665,5.728,-6.665,-3.159,-2.796,-6.665,-6.665,-3.644,-2.059,-3.966,-6.665,-6.665,-6.665,-6.665,-6.665,5.852,-4.381,-4.381
